id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
binancecoin,bnb,Binance Coin
tether,usdt,Tether
solana,sol,Solana
usd-coin,usdc,USD Coin
cardano,ada,Cardano
ripple,xrp,XRP
avalanche-2,AVAX,Avalanche
polkadot,dot,Polkadot
terra-luna,luna,Terra
dogecoin,doge,Dogecoin
shiba-inu,shib,Shiba Inu
matic-network,matic,Polygon
binance-usd,busd,Binance USD
crypto-com-chain,cro,Crypto.com Coin
wrapped-bitcoin,wbtc,Wrapped Bitcoin
litecoin,ltc,Litecoin
dai,dai,Dai
terrausd,ust,TerraUSD
algorand,algo,Algorand
chainlink,link,Chainlink
okb,okb,OKB
tron,trx,TRON
bitcoin-cash,bch,Bitcoin Cash
uniswap,uni,Uniswap
axie-infinity,axs,Axie Infinity
stellar,xlm,Stellar
cosmos,atom,Cosmos
staked-ether,steth,Lido Staked Ether
compound-ether,ceth,cETH
vechain,vet,VeChain
elrond-erd-2,egld,Elrond
ftx-token,ftt,FTX Token
filecoin,fil,Filecoin
near,near,Near
hedera-hashgraph,hbar,Hedera
the-sandbox,sand,The Sandbox
ethereum-classic,etc,Ethereum Classic
internet-computer,icp,Internet Computer
cdai,cdai,cDAI
decentraland,mana,Decentraland
theta-token,theta,Theta Network
magic-internet-money,mim,Magic Internet Money
compound-usd-coin,cusdc,cUSDC
tezos,xtz,Tezos
fantom,ftm,Fantom
gala,gala,Gala
leo-token,leo,LEO Token
monero,xmr,Monero
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
binancecoin,bnb,Binance Coin
tether,usdt,Tether
solana,sol,Solana
usd-coin,usdc,USD Coin
cardano,ada,Cardano
ripple,xrp,XRP
avalanche-2,AVAX,Avalanche
polkadot,dot,Polkadot
terra-luna,luna,Terra
dogecoin,doge,Dogecoin
shiba-inu,shib,Shiba Inu
matic-network,matic,Polygon
binance-usd,busd,Binance USD
crypto-com-chain,cro,Crypto.com Coin
wrapped-bitcoin,wbtc,Wrapped Bitcoin
litecoin,ltc,Litecoin
dai,dai,Dai
terrausd,ust,TerraUSD
algorand,algo,Algorand
chainlink,link,Chainlink
okb,okb,OKB
tron,trx,TRON
bitcoin-cash,bch,Bitcoin Cash
uniswap,uni,Uniswap
axie-infinity,axs,Axie Infinity
stellar,xlm,Stellar
cosmos,atom,Cosmos
staked-ether,steth,Lido Staked Ether
compound-ether,ceth,cETH
vechain,vet,VeChain
elrond-erd-2,egld,Elrond
ftx-token,ftt,FTX Token
filecoin,fil,Filecoin
near,near,Near
hedera-hashgraph,hbar,Hedera
the-sandbox,sand,The Sandbox
ethereum-classic,etc,Ethereum Classic
internet-computer,icp,Internet Computer
cdai,cdai,cDAI
decentraland,mana,Decentraland
theta-token,theta,Theta Network
magic-internet-money,mim,Magic Internet Money
compound-usd-coin,cusdc,cUSDC
tezos,xtz,Tezos
fantom,ftm,Fantom
gala,gala,Gala
leo-token,leo,LEO Token
monero,xmr,Monero
klay-token,klay,Klaytn
helium,hnt,Helium
iota,miota,IOTA
the-graph,grt,The Graph
eos,eos,EOS
pancakeswap-token,cake,PancakeSwap
flow,flow,Flow
radix,xrd,Radix
loopring,lrc,Loopring
kusama,ksm,Kusama
quant-network,qnt,Quant
bittorrent-2,btt,BitTorrent
arweave,ar,Arweave
bitcoin-cash-sv,bsv,Bitcoin SV
amp-token,amp,Amp
blockstack,stx,Stacks
aave,aave,Aave
harmony,one,Harmony
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC
enjincoin,enj,Enjin Coin
ecash,xec,eCash
maker,mkr,Maker
olympus,ohm,Olympus
theta-fuel,tfuel,Theta Fuel
huobi-btc,hbtc,Huobi BTC
thorchain,rune,THORChain
waves,waves,Waves
kadena,kda,Kadena
zcash,zec,Zcash
neo,neo,NEO
basic-attention-token,bat,Basic Attention Token
kucoin-shares,kcs,KuCoin Token
curve-dao-token,crv,Curve DAO Token
ecomi,omi,ECOMI
huobi-token,ht,Huobi Token
celsius-degree-token,cel,Celsius Network
frax,frax,Frax
celo,celo,Celo
chiliz,chz,Chiliz
convex-finance,cvx,Convex Finance
dash,dash,Dash
link,ln,LINK
true-usd,tusd,TrueUSD
holotoken,hot,Holo
nexo,nexo,NEXO
msol,msol,Marinade staked SOL
paxos-standard,usdp,Pax Dollar
compound-governance-token,comp,Compound
nem,xem,NEM
e-radix,exrd,e-Radix
yearn-finance,yfi,yearn.finance
sushi,sushi,Sushi
iotex,iotx,IoTeX
spell-token,spell,Spell Token
mina-protocol,mina,Mina Protocol
osmosis,osmo,Osmosis
1inch,1inch,1inch
xdce-crowd-sale,xdc,XDC Network
qtum,qtum,Qtum
havven,snx,Synthetix Network Token
ethereum-name-service,ens,Ethereum Name Service
wax,waxp,WAX
bitkub-coin,kub,Bitkub Coin
oasis-network,rose,Oasis Network
gatechain-token,gt,GateToken
compound-usdt,cusdt,cUSDT
bitclout,deso,Decentralized Social
nxm,nxm,Nexus Mutual
livepeer,lpt,Livepeer
immutable-x,imx,Immutable X
decred,dcr,Decred
ankr,ankr,Ankr
omisego,omg,OMG Network
ravencoin,rvn,Ravencoin
liquity-usd,lusd,Liquity USD
safemoon,safemoon,SafeMoon
metahero,hero,Metahero
icon,icx,ICON
gnosis,gno,Gnosis
rally-2,rly,Rally
fei-usd,fei,Fei USD
zencash,zen,Horizen
renbtc,renbtc,renBTC
zilliqa,zil,Zilliqa
siacoin,sc,Siacoin
wonderland,time,Wonderland
telcoin,tel,Telcoin
bancor,bnt,Bancor Network Token
ufo-gaming,ufo,UFO Gaming
rocket-pool,rpl,Rocket Pool
bitcoin-gold,btg,Bitcoin Gold
audius,audio,Audius
illuvium,ilv,Illuvium
constitutiondao,people,ConstitutionDAO
iostoken,iost,IOST
convex-crv,cvxcrv,Convex CRV
0x,zrx,0x
oec-token,okt,OEC Token
render-token,rndr,Render Token
woo-network,woo,WOO Network
dogelon-mars,elon,Dogelon Mars
secret,scrt,Secret
ontology,ont,Ontology
swissborg,chsb,SwissBorg
anchor-protocol,anc,Anchor Protocol
raydium,ray,Raydium
hive,hive,Hive
uma,uma,UMA
frax-share,fxs,Frax Share
neutrino,usdn,Neutrino USD
nervos-network,ckb,Nervos Network
perpetual-protocol,perp,Perpetual Protocol
dydx,dydx,dYdX
defi-kingdoms,jewel,DeFi Kingdoms
digibyte,dgb,DigiByte
kava,kava,Kava
skale,skl,SKALE
velas,vlx,Velas
wazirx,wrx,WazirX
republic-protocol,ren,REN
mobox,mbox,Mobox
moonriver,movr,Moonriver
flex-coin,flex,FLEX Coin
golem,glm,Golem
nucypher,nu,NuCypher
mask-network,mask,Mask Network
syscoin,sys,Syscoin
yield-guild-games,ygg,Yield Guild Games
serum,srm,Serum
wink,win,WINkLink
polymath,poly,Polymath
nano,xno,Nano
boba-network,boba,Boba Network
fx-coin,fx,Function X
reserve-rights-token,rsr,Reserve Rights Token
origintrail,trac,OriginTrail
vulcan-forged,pyr,Vulcan Forged
tribe-2,tribe,Tribe
playdapp,pla,PlayDapp
celer-network,celr,Celer Network
xyo-network,xyo,XYO Network
ultra,uos,Ultra
just,jst,JUST
energy-web-token,ewt,Energy Web Token
xsushi,xsushi,xSUSHI
starlink,starl,StarLink
coin98,c98,Coin98
constellation-labs,dag,Constellation
rmrk,rmrk,RMRK
lisk,lsk,Lisk
